run_name,architecture,seed,corpus,checkpoint_label,iter_num,words_seen,mask_seed,mask_mode,task,level,term,accuracy
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,1M,5,957909,,none,blimp,field,morphology,48.18
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,1M,5,957909,,none,blimp,field,semantics,50.14
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,1M,5,957909,,none,blimp,field,syntax,53.26
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,1M,5,957909,,none,blimp,field,syntax/semantics,55.21
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,1M,5,957909,,none,blimp,linguistics_term,anaphor_agreement,41.38
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,1M,5,957909,,none,blimp,linguistics_term,argument_structure,52.92
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,1M,5,957909,,none,blimp,linguistics_term,binding,61.21
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,1M,5,957909,,none,blimp,linguistics_term,control_raising,54.07
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,1M,5,957909,,none,blimp,linguistics_term,determiner_noun_agreement,49.83
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,1M,5,957909,,none,blimp,linguistics_term,ellipsis,39.26
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,1M,5,957909,,none,blimp,linguistics_term,filler_gap_dependency,53.28
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,1M,5,957909,,none,blimp,linguistics_term,irregular_forms,42.2
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,1M,5,957909,,none,blimp,linguistics_term,island_effects,54.73
